TV,Radio,Newspaper,Sales,Oven,Fan,AC,Projector,Heater,Table_Fan,Mobile_Phone,Laptop,Tab
230.1,37.8,69.2,22.1,151,209,149,194,121,189,13,296,195
44.5,39.3,45.1,10.4,228,38,60,298,143,253,47,96,47
17.2,45.9,69.3,12.0,74,13,293,266,269,17,213,89,126
151.5,41.3,58.5,16.5,205,286,172,236,267,138,65,251,153
180.8,10.8,58.4,17.9,122,99,187,118,10,85,62,277,149
8.7,48.9,75.0,7.2,110,98,277,38,3,184,261,39,180
57.5,32.8,23.5,11.8,235,186,151,10,173,137,297,137,30
120.2,19.6,11.6,13.2,5,163,237,18,225,241,246,296,161
8.6,2.1,1.0,4.8,288,125,69,85,181,158,180,157,275
199.8,2.6,21.2,15.6,43,269,262,288,90,197,31,208,272
66.1,5.8,24.2,12.6,256,177,4,294,192,139,59,141,188
214.7,24.0,4.0,17.4,206,158,188,83,117,88,64,52,137
23.8,35.1,65.9,9.2,229,283,70,228,23,199,194,270,205
97.5,7.6,7.2,13.7,260,105,42,277,205,253,234,300,35
204.1,32.9,46.0,19.0,259,259,45,299,20,171,203,265,138
195.4,47.7,52.9,22.4,146,62,98,46,104,122,202,215,254
67.8,36.6,114.0,12.5,90,259,78,152,235,171,66,197,122
281.4,39.6,55.8,24.4,186,116,256,266,102,234,292,264,245
69.2,20.5,18.3,11.3,3,202,133,257,169,169,73,92,165
147.3,23.9,19.1,14.6,267,294,54,7,274,134,47,101,190
218.4,27.7,53.4,18.0,13,87,163,37,99,15,223,32,156
237.4,5.1,23.5,17.5,184,91,126,297,263,248,134,200,245
13.2,15.9,49.6,5.6,93,296,162,294,106,62,191,174,289
228.3,16.9,26.2,20.5,246,9,62,140,60,268,169,140,216
62.3,12.6,18.3,9.7,17,219,284,289,232,153,285,68,235
262.9,3.5,19.5,17.0,286,265,254,278,179,36,2,105,20
142.9,29.3,12.6,15.0,39,39,103,3,232,106,295,139,44
240.1,16.7,22.9,20.9,135,190,201,259,281,99,154,6,270
248.8,27.1,22.9,18.9,221,128,2,207,276,74,139,59,36
70.6,16.0,40.8,10.5,199,14,71,162,257,99,31,109,185
292.9,28.3,43.2,21.4,70,236,135,149,33,21,140,14,103
112.9,17.4,38.6,11.9,212,140,45,243,25,210,297,237,178
97.2,1.5,30.0,13.2,232,261,298,202,59,78,50,180,217
265.6,20.0,0.3,17.4,172,236,31,173,77,76,197,26,158
95.7,1.4,7.4,11.9,280,9,78,190,152,39,120,87,140
290.7,4.1,8.5,17.8,46,96,76,290,174,85,65,112,136
266.9,43.8,5.0,25.4,21,109,246,224,102,210,123,233,198
74.7,49.4,45.7,14.7,268,62,132,0,251,144,55,234,99
43.1,26.7,35.1,10.1,245,123,53,247,277,88,271,153,111
228.0,37.7,32.0,21.5,126,52,111,183,199,245,177,40,154
202.5,22.3,31.6,16.6,194,180,160,80,41,140,95,166,17
177.0,33.4,38.7,17.1,226,194,11,186,177,167,197,233,83
293.6,27.7,1.8,20.7,285,63,48,81,263,3,46,6,283
206.9,8.4,26.4,17.9,246,111,108,2,118,229,94,265,270
25.1,25.7,43.3,8.5,260,255,57,140,74,126,33,210,16
175.1,22.5,31.5,16.1,246,112,178,207,18,43,300,224,80
89.7,9.9,35.7,10.6,145,163,266,140,91,293,177,51,81
239.9,41.5,18.5,23.2,227,113,111,18,40,91,117,112,81
227.2,15.8,49.9,19.8,149,38,230,78,79,234,133,267,285
66.9,11.7,36.8,9.7,72,123,12,63,128,216,177,46,272
199.8,3.1,34.6,16.4,122,213,277,166,96,82,238,179,290
100.4,9.6,3.6,10.7,138,176,121,156,255,43,231,197,71
216.4,41.7,39.6,22.6,230,13,41,103,119,45,190,264,81
182.6,46.2,58.7,21.2,259,58,121,3,17,174,193,41,165
262.7,28.8,15.9,20.2,245,33,295,38,218,77,77,294,114
198.9,49.4,60.0,23.7,98,129,179,35,79,216,168,103,283
7.3,28.1,41.4,5.5,140,211,79,230,153,22,132,140,274
136.2,19.2,16.6,13.2,164,161,108,95,156,17,53,275,273
210.8,49.6,37.7,23.8,29,215,66,98,189,195,274,178,227
210.7,29.5,9.3,18.4,232,205,205,249,246,275,19,294,245
53.5,2.0,21.4,8.1,10,97,121,24,7,115,242,73,160
261.3,42.7,54.7,24.2,213,21,290,223,247,46,289,271,95
239.3,15.5,27.3,20.7,1,149,101,196,191,255,217,129,264
102.7,29.6,8.4,14.0,285,60,192,102,292,253,35,41,129
131.1,42.8,28.9,16.0,217,271,252,197,100,124,188,143,129
69.0,9.3,0.9,11.3,0,153,58,68,84,6,222,106,4
31.5,24.6,2.2,11.0,12,48,192,296,177,231,277,32,282
139.3,14.5,10.2,13.4,275,67,276,72,20,90,25,218,295
237.4,27.5,11.0,18.9,177,85,71,163,171,264,9,88,63
216.8,43.9,27.2,22.3,155,17,241,121,236,227,71,220,225
199.1,30.6,38.7,18.3,168,168,241,269,300,165,138,33,267
109.8,14.3,31.7,12.4,101,212,265,165,215,256,297,171,196
26.8,33.0,19.3,8.8,105,98,143,121,23,92,131,10,277
129.4,5.7,31.3,11.0,106,191,274,83,34,241,127,192,0
213.4,24.6,13.1,17.0,208,132,142,192,63,134,72,151,255
16.9,43.7,89.4,8.7,200,244,109,157,128,18,228,213,4
27.5,1.6,20.7,6.9,259,13,116,126,74,14,252,246,162
120.5,28.5,14.2,14.2,247,3,6,237,280,199,73,213,119
5.4,29.9,9.4,5.3,165,272,297,146,36,206,48,291,199
116.0,7.7,23.1,11.0,129,190,129,58,189,139,56,97,216
76.4,26.7,22.3,11.8,208,2,287,245,218,109,24,49,54
239.8,4.1,36.9,17.3,156,124,244,151,170,233,89,172,115
75.3,20.3,32.5,11.3,81,193,34,16,260,299,219,9,127
68.4,44.5,35.6,13.6,259,140,228,56,93,211,134,137,65
213.5,43.0,33.8,21.7,248,238,154,29,178,297,59,149,15
193.2,18.4,65.7,20.2,153,213,145,175,120,50,197,209,63
76.3,27.5,16.0,12.0,253,251,289,286,257,183,229,267,158
110.7,40.6,63.2,16.0,179,213,201,13,275,162,195,237,101
88.3,25.5,73.4,12.9,198,182,49,141,242,34,112,249,198
109.8,47.8,51.4,16.7,40,222,280,68,134,289,5,6,289
134.3,4.9,9.3,14.0,110,153,75,59,205,69,159,21,67
28.6,1.5,33.0,7.3,194,198,48,110,56,207,184,214,97
217.7,33.5,59.0,19.4,252,59,182,130,125,26,97,218,216
