TV,Radio,Newspaper,Oven,Fan,AC,Projector,Heater,Table Fan,Mobile Phone,Laptop,Tab,Predicted_Sales,Sales,Timestamp
230.1,37.8,69.2,120.0,80.0,50.0,10.0,25.0,60.0,150.0,200.0,100.0,21.2696569096948,,
44.5,39.3,45.1,60.0,40.0,25.0,5.0,15.0,30.0,90.0,110.0,60.0,10.892352151622308,,
17.2,45.9,69.3,35.0,20.0,15.0,2.0,10.0,25.0,50.0,80.0,40.0,10.110072490997412,,
230.1,37.8,69.2,151.0,209.0,149.0,194.0,121.0,189.0,13.0,296.0,195.0,21.386989150579566,22.1,
44.5,39.3,45.1,228.0,38.0,60.0,298.0,143.0,253.0,47.0,96.0,47.0,11.427743057766811,10.4,
17.2,45.9,69.3,74.0,13.0,293.0,266.0,269.0,17.0,213.0,89.0,126.0,10.276730054587624,12.0,
151.5,41.3,58.5,205.0,286.0,172.0,236.0,267.0,138.0,65.0,251.0,153.0,17.13779614588305,16.5,
180.8,10.8,58.4,122.0,99.0,187.0,118.0,10.0,85.0,62.0,277.0,149.0,16.006657983485468,17.9,
8.7,48.9,75.0,110.0,98.0,277.0,38.0,3.0,184.0,261.0,39.0,180.0,10.707151447091466,7.2,
57.5,32.8,23.5,235.0,186.0,151.0,10.0,173.0,137.0,297.0,137.0,30.0,11.28312962448254,11.8,
120.2,19.6,11.6,5.0,163.0,237.0,18.0,225.0,241.0,246.0,296.0,161.0,13.331698295063555,13.2,
8.6,2.1,1.0,288.0,125.0,69.0,85.0,181.0,158.0,180.0,157.0,275.0,5.928605235176393,4.8,
199.8,2.6,21.2,43.0,269.0,262.0,288.0,90.0,197.0,31.0,208.0,272.0,15.647428793973644,15.6,
66.1,5.8,24.2,256.0,177.0,4.0,294.0,192.0,139.0,59.0,141.0,188.0,8.92515733944169,12.6,
214.7,24.0,4.0,206.0,158.0,188.0,83.0,117.0,88.0,64.0,52.0,137.0,18.69030712529144,17.4,
23.8,35.1,65.9,229.0,283.0,70.0,228.0,23.0,199.0,194.0,270.0,205.0,9.938229291922642,9.2,
97.5,7.6,7.2,260.0,105.0,42.0,277.0,205.0,253.0,234.0,300.0,35.0,11.11278796890281,13.7,
204.1,32.9,46.0,259.0,259.0,45.0,299.0,20.0,171.0,203.0,265.0,138.0,19.28255700597257,19.0,
195.4,47.7,52.9,146.0,62.0,98.0,46.0,104.0,122.0,202.0,215.0,254.0,20.684599542438207,22.4,
67.8,36.6,114.0,90.0,259.0,78.0,152.0,235.0,171.0,66.0,197.0,122.0,12.24058419241206,12.5,
281.4,39.6,55.8,186.0,116.0,256.0,266.0,102.0,234.0,292.0,264.0,245.0,24.76742544549886,24.4,
69.2,20.5,18.3,3.0,202.0,133.0,257.0,169.0,169.0,73.0,92.0,165.0,9.948166198417232,11.3,
147.3,23.9,19.1,267.0,294.0,54.0,7.0,274.0,134.0,47.0,101.0,190.0,15.118533258843366,14.6,
218.4,27.7,53.4,13.0,87.0,163.0,37.0,99.0,15.0,223.0,32.0,156.0,19.16621723488867,18.0,
237.4,5.1,23.5,184.0,91.0,126.0,297.0,263.0,248.0,134.0,200.0,245.0,18.583967990169405,17.5,
13.2,15.9,49.6,93.0,296.0,162.0,294.0,106.0,62.0,191.0,174.0,289.0,6.754325578189658,5.6,
228.3,16.9,26.2,246.0,9.0,62.0,140.0,60.0,268.0,169.0,140.0,216.0,19.69326899356556,20.5,
62.3,12.6,18.3,17.0,219.0,284.0,289.0,232.0,153.0,285.0,68.0,235.0,8.97532982236033,9.7,
262.9,3.5,19.5,286.0,265.0,254.0,278.0,179.0,36.0,2.0,105.0,20.0,19.01078424784199,17.0,
142.9,29.3,12.6,39.0,39.0,103.0,3.0,232.0,106.0,295.0,139.0,44.0,15.222263754438508,15.0,
240.1,16.7,22.9,135.0,190.0,201.0,259.0,281.0,99.0,154.0,6.0,270.0,19.21285877607385,20.9,
248.8,27.1,22.9,221.0,128.0,2.0,207.0,276.0,74.0,139.0,59.0,36.0,20.62728104716792,18.9,
70.6,16.0,40.8,199.0,14.0,71.0,162.0,257.0,99.0,31.0,109.0,185.0,10.50041508209393,10.5,
292.9,28.3,43.2,70.0,236.0,135.0,149.0,33.0,21.0,140.0,14.0,103.0,22.844056081969207,21.4,
112.9,17.4,38.6,212.0,140.0,45.0,243.0,25.0,210.0,297.0,237.0,178.0,13.06512850045684,11.9,
97.2,1.5,30.0,232.0,261.0,298.0,202.0,59.0,78.0,50.0,180.0,217.0,10.308310006519411,13.2,
265.6,20.0,0.3,172.0,236.0,31.0,173.0,77.0,76.0,197.0,26.0,158.0,20.619142992366235,17.4,
95.7,1.4,7.4,280.0,9.0,78.0,190.0,152.0,39.0,120.0,87.0,140.0,10.271221252381082,11.9,
290.7,4.1,8.5,46.0,96.0,76.0,290.0,174.0,85.0,65.0,112.0,136.0,20.36279765493461,17.8,
266.9,43.8,5.0,21.0,109.0,246.0,224.0,102.0,210.0,123.0,233.0,198.0,23.515799828945525,25.4,
74.7,49.4,45.7,268.0,62.0,132.0,0.0,251.0,144.0,55.0,234.0,99.0,14.403934471549638,14.7,
43.1,26.7,35.1,245.0,123.0,53.0,247.0,277.0,88.0,271.0,153.0,111.0,9.810824458350137,10.1,
228.0,37.7,32.0,126.0,52.0,111.0,183.0,199.0,245.0,177.0,40.0,154.0,21.11912286681069,21.5,
202.5,22.3,31.6,194.0,180.0,160.0,80.0,41.0,140.0,95.0,166.0,17.0,18.018907947928984,16.6,
177.0,33.4,38.7,226.0,194.0,11.0,186.0,177.0,167.0,197.0,233.0,83.0,17.79125345139181,17.1,
293.6,27.7,1.8,285.0,63.0,48.0,81.0,263.0,3.0,46.0,6.0,283.0,23.5399353385168,20.7,
206.9,8.4,26.4,246.0,111.0,108.0,2.0,118.0,229.0,94.0,265.0,270.0,17.728658377150733,17.9,
25.1,25.7,43.3,260.0,255.0,57.0,140.0,74.0,126.0,33.0,210.0,16.0,8.65027660176468,8.5,
175.1,22.5,31.5,246.0,112.0,178.0,207.0,18.0,43.0,300.0,224.0,80.0,16.717870460049454,16.1,
89.7,9.9,35.7,145.0,163.0,266.0,140.0,91.0,293.0,177.0,51.0,81.0,10.9344039719776,10.6,
239.9,41.5,18.5,227.0,113.0,111.0,18.0,40.0,91.0,117.0,112.0,81.0,22.031419128756525,23.2,
227.2,15.8,49.9,149.0,38.0,230.0,78.0,79.0,234.0,133.0,267.0,285.0,19.68600746023392,19.8,
66.9,11.7,36.8,72.0,123.0,12.0,63.0,128.0,216.0,177.0,46.0,272.0,9.72805971630548,9.7,
199.8,3.1,34.6,122.0,213.0,277.0,166.0,96.0,82.0,238.0,179.0,290.0,16.052451310078254,16.4,
100.4,9.6,3.6,138.0,176.0,121.0,156.0,255.0,43.0,231.0,197.0,71.0,10.706268395550808,10.7,
216.4,41.7,39.6,230.0,13.0,41.0,103.0,119.0,45.0,190.0,264.0,81.0,21.02236373860872,22.6,
182.6,46.2,58.7,259.0,58.0,121.0,3.0,17.0,174.0,193.0,41.0,165.0,20.08495387868276,21.2,
262.7,28.8,15.9,245.0,33.0,295.0,38.0,218.0,77.0,77.0,294.0,114.0,22.45589773460423,20.2,
198.9,49.4,60.0,98.0,129.0,179.0,35.0,79.0,216.0,168.0,103.0,283.0,21.02805958151236,23.7,
7.3,28.1,41.4,140.0,211.0,79.0,230.0,153.0,22.0,132.0,140.0,274.0,7.702149433829381,5.5,
136.2,19.2,16.6,164.0,161.0,108.0,95.0,156.0,17.0,53.0,275.0,273.0,14.066737984988702,13.2,
210.8,49.6,37.7,29.0,215.0,66.0,98.0,189.0,195.0,274.0,178.0,227.0,21.013489021097342,23.8,
210.7,29.5,9.3,232.0,205.0,205.0,249.0,246.0,275.0,19.0,294.0,245.0,19.542264106661072,18.4,
53.5,2.0,21.4,10.0,97.0,121.0,24.0,7.0,115.0,242.0,73.0,160.0,7.704324926906077,8.1,
261.3,42.7,54.7,213.0,21.0,290.0,223.0,247.0,46.0,289.0,271.0,95.0,23.703658089269787,24.2,
239.3,15.5,27.3,1.0,149.0,101.0,196.0,191.0,255.0,217.0,129.0,264.0,19.25304169281022,20.7,
102.7,29.6,8.4,285.0,60.0,192.0,102.0,292.0,253.0,35.0,41.0,129.0,13.811005407352388,14.0,
131.1,42.8,28.9,217.0,271.0,252.0,197.0,100.0,124.0,188.0,143.0,129.0,16.077179964075395,16.0,
69.0,9.3,0.9,0.0,153.0,58.0,68.0,84.0,6.0,222.0,106.0,4.0,8.491321248122732,11.3,
31.5,24.6,2.2,12.0,48.0,192.0,296.0,177.0,231.0,277.0,32.0,282.0,8.817796055349241,11.0,
139.3,14.5,10.2,275.0,67.0,276.0,72.0,20.0,90.0,25.0,218.0,295.0,14.50320007520282,13.4,
237.4,27.5,11.0,177.0,85.0,71.0,163.0,171.0,264.0,9.0,88.0,63.0,20.464194487827164,18.9,
216.8,43.9,27.2,155.0,17.0,241.0,121.0,236.0,227.0,71.0,220.0,225.0,21.56481339921972,22.3,
199.1,30.6,38.7,168.0,168.0,241.0,269.0,300.0,165.0,138.0,33.0,267.0,18.737047374078475,18.3,
109.8,14.3,31.7,101.0,212.0,265.0,165.0,215.0,256.0,297.0,171.0,196.0,12.383800408183273,12.4,
26.8,33.0,19.3,105.0,98.0,143.0,121.0,23.0,92.0,131.0,10.0,277.0,9.454150877322204,8.8,
129.4,5.7,31.3,106.0,191.0,274.0,83.0,34.0,241.0,127.0,192.0,0.0,12.474859136164154,11.0,
213.4,24.6,13.1,208.0,132.0,142.0,192.0,63.0,134.0,72.0,151.0,255.0,18.997373031691065,17.0,
16.9,43.7,89.4,200.0,244.0,109.0,157.0,128.0,18.0,228.0,213.0,4.0,9.979683597949297,8.7,
27.5,1.6,20.7,259.0,13.0,116.0,126.0,74.0,14.0,252.0,246.0,162.0,6.879591386180565,6.9,
120.5,28.5,14.2,247.0,3.0,6.0,237.0,280.0,199.0,73.0,213.0,119.0,14.494010773116518,14.2,
5.4,29.9,9.4,165.0,272.0,297.0,146.0,36.0,206.0,48.0,291.0,199.0,8.167558648392657,5.3,
116.0,7.7,23.1,129.0,190.0,129.0,58.0,189.0,139.0,56.0,97.0,216.0,11.792762176314604,11.0,
76.4,26.7,22.3,208.0,2.0,287.0,245.0,218.0,109.0,24.0,49.0,54.0,11.69303582665629,11.8,
239.8,4.1,36.9,156.0,124.0,244.0,151.0,170.0,233.0,89.0,172.0,115.0,18.588310430004253,17.3,
75.3,20.3,32.5,81.0,193.0,34.0,16.0,260.0,299.0,219.0,9.0,127.0,10.867516530170017,11.3,
68.4,44.5,35.6,259.0,140.0,228.0,56.0,93.0,211.0,134.0,137.0,65.0,13.430186470085204,13.6,
213.5,43.0,33.8,248.0,238.0,154.0,29.0,178.0,297.0,59.0,149.0,15.0,20.966967979219845,21.7,
193.2,18.4,65.7,153.0,213.0,145.0,175.0,120.0,50.0,197.0,209.0,63.0,17.008094615214862,20.2,
76.3,27.5,16.0,253.0,251.0,289.0,286.0,257.0,183.0,229.0,267.0,158.0,11.826053230273066,12.0,
